headline,time,datetime,url
"Texas’ worst schools; Wilmer-Hutchins’ recent woes are part of a long, dismal pattern","August 22, 2004",2004-08-22T14:12:21+00:00,http://clipfile.org/?p=702
"High praise at W-H; Despite ongoing turmoil, elementary gets exemplary rating","October 2, 2004",2004-10-02T13:00:59+00:00,http://clipfile.org/?p=724
W-H scores suspicious; Exclusive: News analysis triggers cheating concerns,"November 7, 2004",2004-11-07T16:48:53+00:00,http://clipfile.org/?p=736
"2 named overseers in W-H; Business leader, former DISD chief can overrule board, officials","November 13, 2004",2004-11-13T16:53:47+00:00,http://clipfile.org/?p=741
"A little help on TAKS; Exclusive: At W-H, students say teachers gave answers","November 14, 2004",2004-11-14T16:54:24+00:00,http://clipfile.org/?p=742
Team meets trustees; State-appointed managers positive about job ahead at W-H,"November 16, 2004",2004-11-16T16:55:18+00:00,http://clipfile.org/?p=743
Wilmer Elementary principal to resign; District says decision not tied to questions about TAKS scores,"November 18, 2004",2004-11-18T16:57:01+00:00,http://clipfile.org/?p=745
Elementary principal resigns immediately,"November 19, 2004",2004-11-19T17:00:24+00:00,http://clipfile.org/?p=746
Cheating may be pervasive; Exclusive: TAKS surges raise questions about hundreds of schools,"December 19, 2004",2004-12-19T23:10:31+00:00,http://clipfile.org/?p=754
"Tools may stem cheating; Test scores, analysis available, but TEA doesn’t use information","December 20, 2004",2004-12-20T23:11:58+00:00,http://clipfile.org/?p=755
W-H staffers receiving unearned pay; District trying to find who’s getting extra fees for former duties,"December 22, 2004",2004-12-22T23:13:56+00:00,http://clipfile.org/?p=756
Celebrated school accused of cheating; Exclusive: TAKS results too good to be true at Houston elementaries,"December 31, 2004",2004-12-31T19:13:28+00:00,http://clipfile.org/?p=758
Houston district says monitors will police TAKS testing; Move follows evidence that educators helped students cheat,"January 7, 2005",2005-01-07T19:14:43+00:00,http://clipfile.org/?p=759
DISD probing TAKS scores; FW also joins Houston in investigating schools that might have cheated,"January 8, 2005",2005-01-08T19:16:04+00:00,http://clipfile.org/?p=760
"State plans TAKS cheating inquiry; TEA also will hire expert to help prevent, detect deceit","January 11, 2005",2005-01-11T19:17:03+00:00,http://clipfile.org/?p=761
Monitors descend for TAKS testing; 70 at Wilmer-Hutchins called agency’s biggest anti-cheating effort ever,"February 23, 2005",2005-02-23T14:29:46+00:00,http://clipfile.org/?p=763
"W-H board could face removal, report says; Officials suggest review in May; president calls criticism a conspiracy","March 4, 2005",2005-03-04T18:10:47+00:00,http://clipfile.org/?p=764
State to dissolve W-H school board; TEA report says more than 20 educators gave students TAKS answers,"March 22, 2005",2005-03-22T17:42:15+00:00,http://clipfile.org/?p=767
"W-H gets new leaders; State ousts trustees, picks manager board and superintendent","May 13, 2005",2005-05-13T14:06:06+00:00,http://clipfile.org/?p=779
"W-H nears a decision on its fate; District might shut down this year or next, send kids to DISD, Lancaster","June 17, 2005",2005-06-17T14:57:51+00:00,http://clipfile.org/?p=788
Firm to look for TAKS cheating; Company says it will search for patterns in Texas students’ results,"July 20, 2005",2005-07-20T14:38:16+00:00,http://clipfile.org/?p=800
"Missing: 20,000 standardized tests; Of statewide total, DISD leads in exams lost, mostly TAKS","November 8, 2005",2005-11-08T14:26:32+00:00,http://clipfile.org/?p=817
Analysis suggests cheating on TAKS; TEA consultant cites suspicious scores in 1 in 12 Texas schools in ’05,"May 23, 2006",2006-05-23T10:31:20+00:00,http://clipfile.org/?p=833
Signs of cheating at 114 area schools; State asks campuses to check ’05 TAKS scores that raised suspicions,"June 9, 2006",2006-06-09T13:37:08+00:00,http://clipfile.org/?p=841
"TAKS analysis suggests many graduates cheated; Exclusive: DISD, other districts unlikely to look into suspicious scores","June 11, 2006",2006-06-11T13:40:17+00:00,http://clipfile.org/?p=842
"TAKS online testing option raises concerns; Aim is to save money, time, but cheating, fairness are worries","June 22, 2006",2006-06-22T10:03:50+00:00,http://clipfile.org/?p=844
"Districts on TAKS cheat list in dark; State didn’t seek data on why firm flagged schools, preventing investigation","July 16, 2006",2006-07-16T09:41:14+00:00,http://clipfile.org/?p=846
"Not all suspect schools on list; Exclusive: Firm flagged 167 more on TAKS, but state not looking into it","July 23, 2006",2006-07-23T13:52:20+00:00,http://clipfile.org/?p=848
State seems to have had right to see cheat data; Contract with Caveon appears to grant info superintendents want,"July 23, 2006",2006-07-23T13:54:07+00:00,http://clipfile.org/?p=849
"TEA wants full list of suspect schools; But expanded inquiry into TAKS cheating not certain, state says","July 26, 2006",2006-07-26T13:56:01+00:00,http://clipfile.org/?p=850
TAKS inquiry gets a boost; TEA adds investigators and task force for cheating probe,"July 29, 2006",2006-07-29T10:04:42+00:00,http://clipfile.org/?p=852
TAKS panel members are in place,"August 2, 2006",2006-08-02T09:28:11+00:00,http://clipfile.org/?p=853
TEA adds 241 schools with suspect scores; Campuses not likely to be part of inquiry into possible TAKS cheating,"August 12, 2006",2006-08-12T09:36:53+00:00,http://clipfile.org/?p=855
Entire TAKS list faces inquiry; TEA: All 699 schools suspected of fraud to see some level of scrutiny,"August 22, 2006",2006-08-22T23:08:11+00:00,http://clipfile.org/?p=857
TEA may ax test analyzer; Agency doubts level of TAKS cheating; evaluator defends data,"September 2, 2006",2006-09-02T23:10:33+00:00,http://clipfile.org/?p=858
SIDEBAR: Crunching numbers to find Texas cheats; Firm focuses on schools with high number of suspicious results,"September 3, 2006",2006-09-03T23:12:55+00:00,http://clipfile.org/?p=860
Cheating hasn’t hurt teachers; Exclusive: Accused WHISD educators hired in other schools,"October 1, 2006",2006-10-01T15:28:10+00:00,http://clipfile.org/?p=863
Progress cited in TAKS cheat probe; But initial investigation of five especially suspect schools far from done,"October 6, 2006",2006-10-06T09:46:23+00:00,http://clipfile.org/?p=864
Cheating inquiry clears 592 schools; State’s use of campus self-reporting in TAKS investigation questioned,"December 15, 2006",2006-12-15T14:07:56+00:00,http://clipfile.org/?p=871
TEA may create system to hunt TAKS cheaters; Criticism of private firm spurs call for agency to analyze scores itself,"January 5, 2007",2007-01-05T10:34:38+00:00,http://clipfile.org/?p=876
W-H official cited in inquiry; Ex-principal’s lawyer denies wrongdoing in TAKS cheating scandal,"January 22, 2007",2007-01-22T17:43:38+00:00,http://clipfile.org/?p=877
"State ready to crack down on teachers who cheat; Rules prioritize offenses, help alert other districts","January 23, 2007",2007-01-23T12:07:31+00:00,http://clipfile.org/?p=878
State loses TAKS chief to firm that produces test; Rules will keep her from working on Texas issues until 2010,"January 26, 2007",2007-01-26T11:11:16+00:00,http://clipfile.org/?p=879
TEA official’s ouster planned; Documents show effort to remove TEA employee who oversaw test,"February 18, 2007",2007-02-18T17:32:28+00:00,http://clipfile.org/?p=882
"Faking the Grade: Failing to catch cheaters: State says it’s addressed the problem, but News uncovers over 50,000 cases on TAKS","June 3, 2007",2007-06-03T12:28:59+00:00,http://clipfile.org/?p=889
Faking the Grade: Common questions about the analysis,"June 3, 2007",2007-06-03T12:40:15+00:00,http://clipfile.org/?p=890
Faking the Grade: A conservative estimate,"June 3, 2007",2007-06-03T12:41:16+00:00,http://clipfile.org/?p=891
Faking the Grade: About the analysis,"June 3, 2007",2007-06-03T12:43:48+00:00,http://clipfile.org/?p=892
Faking the Grade: Day 1 sidebars and graphics,"June 3, 2007",2007-06-03T12:45:04+00:00,http://clipfile.org/?p=893
"Faking the Grade: At charters, cheating’s off the charts; Loosely regulated schools among state’s worst offenders on TAKS","June 4, 2007",2007-06-04T12:56:15+00:00,http://clipfile.org/?p=895
Faking the Grade: Schools had issues from Day 1; Many troubled charters were hastily approved over TEA objections,"June 4, 2007",2007-06-04T12:57:27+00:00,http://clipfile.org/?p=896
"Faking the Grade: Efforts to stop cheating often fall short; More emphasis has been placed on TAKS, not on catching copiers","June 5, 2007",2007-06-05T12:58:35+00:00,http://clipfile.org/?p=897
Faking the Grade: Day 3 sidebars and graphics,"June 5, 2007",2007-06-05T13:02:09+00:00,http://clipfile.org/?p=898
"Taking down TAKS cheaters; Reforms include inspections at schools, honor code for students","June 12, 2007",2007-06-12T13:20:12+00:00,http://clipfile.org/?p=900
"FW school cheated, state says; Troubled charter could face closure after TAKS findings","June 15, 2007",2007-06-15T10:15:22+00:00,http://clipfile.org/?p=901
"Some feel nostalgic over W-H; Group seeks to revive fallen district, says area deserves its own schools","July 2, 2007",2007-07-02T22:30:54+00:00,http://clipfile.org/?p=903
"TEA: Teacher leaked part of TAKS; Exclusive: Amarillo educator says he wanted to help school, contends others do the same","July 13, 2007",2007-07-13T12:56:48+00:00,http://clipfile.org/?p=907
"Monitors came, TAKS scores plummeted; Houston-area school previously was cleared of cheating by state","July 21, 2007",2007-07-21T09:55:06+00:00,http://clipfile.org/?p=910
